Snappy	Literal [1, 1]	Literal [1, 1, 1, 1, 1, 1, 1]	10624124
Snappy	Literal [1, 1]	Delta [1, 1, 1, 1, 1, 1, 1]	14273128
Snappy	Literal [1, 1]	Literal [2, 1, 1, 1, 1, 1]	10624124
Snappy	Literal [1, 1]	Delta [2, 1, 1, 1, 1, 1]	13904308
Snappy	Literal [1, 1]	Literal [1, 2, 1, 1, 1, 1]	10624124
Snappy	Literal [1, 1]	Delta [1, 2, 1, 1, 1, 1]	13906081
Snappy	Literal [1, 1]	Literal [1, 1, 2, 1, 1, 1]	10876412
Snappy	Literal [1, 1]	Delta [1, 1, 2, 1, 1, 1]	13532083
Snappy	Literal [1, 1]	Literal [1, 1, 1, 2, 1, 1]	10448086
Snappy	Literal [1, 1]	Delta [1, 1, 1, 2, 1, 1]	14514771
Snappy	Literal [1, 1]	Literal [1, 1, 1, 1, 2, 1]	10739801
Snappy	Literal [1, 1]	Delta [1, 1, 1, 1, 2, 1]	14150768
Snappy	Literal [1, 1]	Literal [1, 1, 1, 1, 1, 2]	12148377
Snappy	Literal [1, 1]	Delta [1, 1, 1, 1, 1, 2]	15733785
Snappy	Literal [1, 1]	Literal [3, 1, 1, 1, 1]	10624124
Snappy	Literal [1, 1]	Delta [3, 1, 1, 1, 1]	12961006
Snappy	Literal [1, 1]	Literal [2, 2, 1, 1, 1]	10876412
Snappy	Literal [1, 1]	Delta [2, 2, 1, 1, 1]	13159776
Snappy	Literal [1, 1]	Literal [2, 1, 2, 1, 1]	10448086
Snappy	Literal [1, 1]	Delta [2, 1, 2, 1, 1]	14145965
Snappy	Literal [1, 1]	Literal [2, 1, 1, 2, 1]	10739801
Snappy	Literal [1, 1]	Delta [2, 1, 1, 2, 1]	13781998
Snappy	Literal [1, 1]	Literal [2, 1, 1, 1, 2]	12148377
Snappy	Literal [1, 1]	Delta [2, 1, 1, 1, 2]	15365021
Snappy	Literal [1, 1]	Literal [1, 3, 1, 1, 1]	10868305
Snappy	Literal [1, 1]	Delta [1, 3, 1, 1, 1]	12847546
Snappy	Literal [1, 1]	Literal [1, 2, 2, 1, 1]	10448086
Snappy	Literal [1, 1]	Delta [1, 2, 2, 1, 1]	14143889
Snappy	Literal [1, 1]	Literal [1, 2, 1, 2, 1]	10739801
Snappy	Literal [1, 1]	Delta [1, 2, 1, 2, 1]	13783745
Snappy	Literal [1, 1]	Literal [1, 2, 1, 1, 2]	12148377
Snappy	Literal [1, 1]	Delta [1, 2, 1, 1, 2]	15368212
Snappy	Literal [1, 1]	Literal [1, 1, 3, 1, 1]	11093401
Snappy	Literal [1, 1]	Delta [1, 1, 3, 1, 1]	14161160
Snappy	Literal [1, 1]	Literal [1, 1, 2, 2, 1]	10963724
Snappy	Literal [1, 1]	Delta [1, 1, 2, 2, 1]	13373909
Snappy	Literal [1, 1]	Literal [1, 1, 2, 1, 2]	12212910
Snappy	Literal [1, 1]	Delta [1, 1, 2, 1, 2]	14812108
Snappy	Literal [1, 1]	Literal [1, 1, 1, 3, 1]	11000880
Snappy	Literal [1, 1]	Delta [1, 1, 1, 3, 1]	14280716
Snappy	Literal [1, 1]	Literal [1, 1, 1, 2, 2]	11822556
Snappy	Literal [1, 1]	Delta [1, 1, 1, 2, 2]	15936198
Snappy	Literal [1, 1]	Literal [1, 1, 1, 1, 3]	12014910
Snappy	Literal [1, 1]	Delta [1, 1, 1, 1, 3]	14840046
Snappy	Literal [1, 1]	Literal [4, 1, 1, 1]	12417780
Snappy	Literal [1, 1]	Delta [4, 1, 1, 1]	12917949
Snappy	Literal [1, 1]	Literal [3, 2, 1, 1]	10448086
Snappy	Literal [1, 1]	Delta [3, 2, 1, 1]	13199938
Snappy	Literal [1, 1]	Literal [3, 1, 2, 1]	10739801
Snappy	Literal [1, 1]	Delta [3, 1, 2, 1]	12838781
Snappy	Literal [1, 1]	Literal [3, 1, 1, 2]	12148377
Snappy	Literal [1, 1]	Delta [3, 1, 1, 2]	14416801
Snappy	Literal [1, 1]	Literal [2, 3, 1, 1]	11093401
Snappy	Literal [1, 1]	Delta [2, 3, 1, 1]	13789200
Snappy	Literal [1, 1]	Literal [2, 2, 2, 1]	10963724
Snappy	Literal [1, 1]	Delta [2, 2, 2, 1]	13001667
Snappy	Literal [1, 1]	Literal [2, 2, 1, 2]	12212910
Snappy	Literal [1, 1]	Delta [2, 2, 1, 2]	14439390
Snappy	Literal [1, 1]	Literal [2, 1, 3, 1]	11000880
Snappy	Literal [1, 1]	Delta [2, 1, 3, 1]	13911991
Snappy	Literal [1, 1]	Literal [2, 1, 2, 2]	11822556
Snappy	Literal [1, 1]	Delta [2, 1, 2, 2]	15567389
Snappy	Literal [1, 1]	Literal [2, 1, 1, 3]	12014910
Snappy	Literal [1, 1]	Delta [2, 1, 1, 3]	14471236
Snappy	Literal [1, 1]	Literal [1, 4, 1, 1]	11796863
Snappy	Literal [1, 1]	Delta [1, 4, 1, 1]	13487533
Snappy	Literal [1, 1]	Literal [1, 3, 2, 1]	10969698
Snappy	Literal [1, 1]	Delta [1, 3, 2, 1]	12699717
Snappy	Literal [1, 1]	Literal [1, 3, 1, 2]	12214205
Snappy	Literal [1, 1]	Delta [1, 3, 1, 2]	14123054
Snappy	Literal [1, 1]	Literal [1, 2, 3, 1]	11000880
Snappy	Literal [1, 1]	Delta [1, 2, 3, 1]	13913289
Snappy	Literal [1, 1]	Literal [1, 2, 2, 2]	11822556
Snappy	Literal [1, 1]	Delta [1, 2, 2, 2]	15568070
