Snappy	Literal [1, 1, 1, 1]	9033135
Snappy	Delta [1, 1, 1, 1]	8979988
Snappy	Literal [2, 1, 1]	8497983
Snappy	Delta [2, 1, 1]	8883392
Snappy	Literal [1, 2, 1]	9311863
Snappy	Delta [1, 2, 1]	9093582
Snappy	Literal [1, 1, 2]	10842190
Snappy	Delta [1, 1, 2]	9847987
Snappy	Literal [3, 1]	9404027
Snappy	Delta [3, 1]	8847839
Snappy	Literal [2, 2]	10107042
Snappy	Delta [2, 2]	9650796
Snappy	Literal [1, 3]	11722159
Snappy	Delta [1, 3]	10524215
Snappy	Literal [4]	10942085
Snappy	Delta [4]	9659888
BZ2	Literal [1, 1, 1, 1]	7327437
BZ2	Delta [1, 1, 1, 1]	7136612
BZ2	Literal [2, 1, 1]	6438215
BZ2	Delta [2, 1, 1]	6402354
BZ2	Literal [1, 2, 1]	8039403
BZ2	Delta [1, 2, 1]	7227282
BZ2	Literal [1, 1, 2]	7405128
BZ2	Delta [1, 1, 2]	7285350
BZ2	Literal [3, 1]	7033810
BZ2	Delta [3, 1]	6260446
BZ2	Literal [2, 2]	6366714
BZ2	Delta [2, 2]	6395954
BZ2	Literal [1, 3]	8386647
BZ2	Delta [1, 3]	7337277
BZ2	Literal [4]	7109668
BZ2	Delta [4]	6254386
