Snappy baseline: 12375632
Snappy	Literal [1, 1, 1, 1, 1, 1, 1, 1]	10232996
Snappy	Delta [1, 1, 1, 1, 1, 1, 1, 1]	13704650
Snappy	Literal [2, 1, 1, 1, 1, 1, 1]	10232996
Snappy	Delta [2, 1, 1, 1, 1, 1, 1]	13344566
Snappy	Literal [1, 2, 1, 1, 1, 1, 1]	10232996
Snappy	Delta [1, 2, 1, 1, 1, 1, 1]	13347257
Snappy	Literal [1, 1, 2, 1, 1, 1, 1]	10477174
Snappy	Delta [1, 1, 2, 1, 1, 1, 1]	12954467
Snappy	Literal [1, 1, 1, 2, 1, 1, 1]	9985079
Snappy	Delta [1, 1, 1, 2, 1, 1, 1]	13884336
Snappy	Literal [1, 1, 1, 1, 2, 1, 1]	10343471
Snappy	Delta [1, 1, 1, 1, 2, 1, 1]	13576439
Snappy	Literal [1, 1, 1, 1, 1, 2, 1]	11454652
Snappy	Delta [1, 1, 1, 1, 1, 2, 1]	14963688
Snappy	Literal [1, 1, 1, 1, 1, 1, 2]	10838412
Snappy	Delta [1, 1, 1, 1, 1, 1, 2]	14212871
Snappy	Literal [3, 1, 1, 1, 1, 1]	10232996
Snappy	Delta [3, 1, 1, 1, 1, 1]	12409691
Snappy	Literal [2, 2, 1, 1, 1, 1]	10477174
Snappy	Delta [2, 2, 1, 1, 1, 1]	12590986
Snappy	Literal [2, 1, 2, 1, 1, 1]	9985079
Snappy	Delta [2, 1, 2, 1, 1, 1]	13524266
Snappy	Literal [2, 1, 1, 2, 1, 1]	10343471
Snappy	Delta [2, 1, 1, 2, 1, 1]	13216375
Snappy	Literal [2, 1, 1, 1, 2, 1]	11454652
Snappy	Delta [2, 1, 1, 1, 2, 1]	14603632
Snappy	Literal [2, 1, 1, 1, 1, 2]	10838412
Snappy	Delta [2, 1, 1, 1, 1, 2]	13852894
Snappy	Literal [1, 3, 1, 1, 1, 1]	10437794
Snappy	Delta [1, 3, 1, 1, 1, 1]	12280165
Snappy	Literal [1, 2, 2, 1, 1, 1]	9985079
Snappy	Delta [1, 2, 2, 1, 1, 1]	13525673
Snappy	Literal [1, 2, 1, 2, 1, 1]	10343471
Snappy	Delta [1, 2, 1, 2, 1, 1]	13219271
Snappy	Literal [1, 2, 1, 1, 2, 1]	11454652
Snappy	Delta [1, 2, 1, 1, 2, 1]	14606303
Snappy	Literal [1, 2, 1, 1, 1, 2]	10838412
Snappy	Delta [1, 2, 1, 1, 1, 2]	13855612
Snappy	Literal [1, 1, 3, 1, 1, 1]	10641324
Snappy	Delta [1, 1, 3, 1, 1, 1]	13499536
Snappy	Literal [1, 1, 2, 2, 1, 1]	10565118
Snappy	Delta [1, 1, 2, 2, 1, 1]	12798630
Snappy	Literal [1, 1, 2, 1, 2, 1]	11693618
Snappy	Delta [1, 1, 2, 1, 2, 1]	14204339
Snappy	Literal [1, 1, 2, 1, 1, 2]	11081882
Snappy	Delta [1, 1, 2, 1, 1, 2]	13463272
Snappy	Literal [1, 1, 1, 3, 1, 1]	10580525
Snappy	Delta [1, 1, 1, 3, 1, 1]	13738315
