Date,Open,High,Low,Close,Volume,Adj Close
2015-03-25,226.25,228.30,223.20,224.25,69576200,217.25
2015-03-24,227.60,229.00,226.55,226.95,46500200,219.865
2015-03-23,229.00,229.00,220.073,227.65,46565100,220.544
2015-03-20,225.00,229.80,224.55,228.25,177392800,221.125
2015-03-19,224.40,226.45,223.20,225.90,82200700,218.848
2015-03-18,220.85,226.25,220.85,225.75,58974800,218.703
2015-03-17,222.00,222.95,220.25,221.55,65264000,214.634
2015-03-16,220.10,223.35,220.10,222.60,50857600,215.651
2015-03-13,217.80,219.62,216.50,218.95,52385300,212.115
2015-03-12,217.95,219.30,216.65,216.90,86059900,210.129
2015-03-11,215.40,218.675,210.334,217.20,59218300,210.42
2015-03-10,221.50,223.30,215.40,215.55,68943700,208.821
2015-03-09,218.20,220.50,216.50,219.10,58725100,212.26
2015-03-06,225.50,226.277,219.30,219.90,70205300,213.035
2015-03-05,226.95,227.95,225.95,226.25,40539100,219.187
2015-03-04,225.50,227.58,224.50,227.35,48706900,220.253
2015-03-03,225.65,227.50,224.95,225.00,51163600,217.976
2015-03-02,224.30,227.00,223.55,224.70,58471000,217.686
2015-02-27,224.70,224.987,223.00,224.40,44080500,217.395
2015-02-26,222.25,225.00,222.10,224.70,45246900,217.686
2015-02-25,224.50,226.15,222.40,223.70,63905000,216.717
2015-02-24,228.05,228.65,224.55,226.50,84846500,219.429
2015-02-23,234.00,236.50,231.85,232.70,36391400,225.436
2015-02-20,229.70,232.60,228.05,232.40,69849700,225.145
2015-02-19,225.80,228.95,225.083,228.40,45247100,221.27
2015-02-18,234.00,234.00,224.25,225.45,69385600,218.412
2015-02-17,231.95,232.15,228.55,231.25,39765200,224.031
2015-02-16,232.20,232.20,229.30,230.00,27139100,222.82
2015-02-13,232.00,233.95,230.55,232.40,38429200,225.145
2015-02-12,230.20,232.50,229.65,231.30,62272500,224.08
2015-02-11,230.40,231.75,228.279,229.90,37428800,222.723
2015-02-10,228.80,232.10,228.15,230.95,53820100,223.74
2015-02-09,230.10,232.00,228.05,228.80,62232200,221.658
2015-02-06,230.50,232.35,228.25,231.40,56937400,224.176
2015-02-05,235.00,238.65,229.236,230.90,96565300,223.692
2015-02-04,235.80,236.50,232.836,236.50,77770300,229.117
2015-02-03,233.95,237.384,233.55,236.90,46770400,229.505
2015-02-02,234.00,235.20,231.238,233.85,46099700,226.55
2015-01-30,239.55,239.55,234.50,234.50,72163900,227.18
2015-01-29,236.50,238.70,234.35,237.65,73147900,230.231
2015-01-28,238.90,239.00,236.00,237.25,54435300,229.844
2015-01-27,239.15,240.10,234.75,236.70,46530300,229.311
2015-01-26,238.80,241.70,237.70,238.65,47738900,231.20
2015-01-23,241.10,245.90,238.143,239.90,91351400,232.411
2015-01-22,238.90,239.35,234.65,238.70,77157600,231.249
2015-01-21,231.45,238.70,230.897,238.15,96098400,230.716
2015-01-20,230.80,231.85,228.75,230.00,45061700,222.82
2015-01-19,227.55,232.70,227.50,229.45,46348000,222.287
2015-01-16,226.30,229.50,225.15,227.80,72118600,220.689
2015-01-15,227.90,228.20,221.30,227.90,80235400,220.786
2015-01-14,226.00,228.90,224.473,225.25,64600600,218.218
2015-01-13,227.05,230.45,226.075,229.00,61604300,221.851
2015-01-12,225.00,228.11,225.00,226.80,42753600,219.72
2015-01-09,225.60,227.213,223.40,224.90,53996700,217.879
2015-01-08,218.70,227.10,211.006,225.75,85404200,218.703
2015-01-07,216.40,219.25,214.65,216.00,45676900,209.257
2015-01-06,216.10,218.25,213.80,215.35,59688300,208.627
2015-01-05,220.85,223.20,215.80,216.45,61154100,209.693
2015-01-02,221.00,223.05,219.10,221.90,31972300,214.973
2015-01-01,222.65,222.65,222.65,222.65,000,215.70
2014-12-31,222.45,223.55,221.20,222.65,8707200,215.70
2014-12-30,224.75,224.90,220.55,221.05,24462700,214.15
2014-12-29,224.20,225.15,222.20,224.80,20702100,217.782
2014-12-26,225.00,225.00,225.00,225.00,000,217.976
2014-12-25,225.00,225.00,225.00,225.00,000,217.976
2014-12-24,223.20,226.00,221.05,225.00,5275300,217.976
2014-12-23,225.15,225.95,222.446,224.70,26953700,217.686
2014-12-22,224.25,227.20,223.65,225.20,29996400,218.17
2014-12-19,226.10,227.75,223.50,225.00,91474700,217.976
2014-12-18,224.85,225.62,221.15,225.60,78889700,218.558
2014-12-17,217.30,220.75,216.00,219.65,56192300,212.793
2014-12-16,214.85,221.06,210.00,219.45,97772700,212.599
2014-12-15,215.55,218.15,213.20,213.20,122341000,206.545
2014-12-12,221.20,223.05,215.192,215.30,102958800,208.579
2014-12-11,221.80,224.60,220.251,222.95,51703600,215.99
2014-12-10,223.60,224.70,221.75,222.65,46351000,215.70
2014-12-09,228.95,228.95,223.40,223.60,49437900,216.62
2014-12-08,228.65,231.213,228.40,229.95,40885000,222.772
2014-12-05,227.00,231.40,226.90,230.60,85923600,223.401
2014-12-04,227.00,228.15,223.20,223.65,79277200,216.668
2014-12-03,229.90,230.35,226.30,227.35,65501300,220.253
2014-12-02,227.35,231.50,227.00,229.95,49144100,222.772
2014-12-01,231.10,232.941,222.277,227.20,101333600,220.108
2014-11-28,228.55,234.75,227.90,233.95,119591200,226.647
2014-11-27,226.40,227.40,224.05,227.35,39508100,220.253
2014-11-26,225.10,227.85,224.85,225.65,53805000,218.606
2014-11-25,224.70,226.50,223.70,224.55,62641000,217.54
2014-11-24,228.65,231.32,224.25,225.05,73344600,218.025
2014-11-21,227.05,229.95,225.35,227.80,60646400,220.689
2014-11-20,225.40,227.40,224.25,226.85,62124400,219.768
2014-11-19,225.90,228.90,225.55,228.60,165036100,217.976
2014-11-18,230.10,231.65,226.75,228.30,123274100,217.69
2014-11-17,224.60,229.90,223.80,229.05,75948000,218.405
2014-11-14,225.80,226.60,223.10,225.30,91582900,214.83
2014-11-13,224.00,225.813,223.018,225.70,94576600,215.211
2014-11-12,220.05,222.00,218.123,222.00,108614700,211.683
2014-11-11,217.00,222.40,213.32,219.05,208667700,208.87
2014-11-10,206.95,208.45,204.55,207.85,65257000,198.191
2014-11-07,208.25,210.30,206.60,206.95,88725500,197.332
2014-11-06,207.90,210.00,206.10,207.45,48809200,197.809
2014-11-05,207.00,209.15,206.55,208.50,77794000,198.81
2014-11-04,206.50,207.65,203.15,203.55,69550500,194.09
2014-11-03,206.50,208.45,205.30,206.00,42926000,196.427
2014-10-31,208.90,209.30,206.275,207.30,61990300,197.666
2014-10-30,206.75,206.80,203.031,206.45,51081000,196.856
2014-10-29,204.65,207.31,203.05,205.30,75854200,195.759
2014-10-28,198.95,204.10,198.05,203.55,73709400,194.09
2014-10-27,202.60,202.65,196.90,197.70,58946300,188.512
2014-10-24,197.00,201.50,189.00,200.50,126632900,191.182
2014-10-23,193.80,197.80,192.30,196.85,65231400,187.702
2014-10-22,193.45,194.20,192.40,194.10,55771500,185.08
2014-10-21,189.00,193.80,186.85,193.75,80070700,184.746
2014-10-20,190.90,190.90,180.901,189.55,62710100,180.741
2014-10-17,185.50,190.44,180.702,189.50,144439600,180.693
2014-10-16,187.00,188.29,179.10,184.50,195040000,175.926
2014-10-15,193.35,193.65,186.25,186.30,110061200,177.642
2014-10-14,193.00,195.792,192.35,193.90,107441200,184.889
2014-10-13,192.35,194.536,190.615,193.80,89894200,184.794
2014-10-10,195.05,203.143,193.892,193.90,86588500,184.889
2014-10-09,203.10,203.78,197.20,197.35,83851500,188.179
2014-10-08,205.15,207.60,203.95,204.30,71643000,194.806
2014-10-07,205.35,207.20,202.70,206.05,73019100,196.474
2014-10-06,204.30,206.65,203.25,206.10,59665400,196.522
2014-10-03,201.15,204.25,199.80,203.85,55017600,194.376
2014-10-02,203.50,204.95,199.57,200.60,50536700,191.277
2014-10-01,203.85,205.40,203.05,203.85,47507100,194.376
2014-09-30,206.90,214.50,204.20,204.40,60341800,194.901
2014-09-29,205.65,207.80,204.40,206.75,41448700,197.142
2014-09-26,204.50,206.57,203.65,204.95,39754200,195.425
2014-09-25,204.75,210.95,204.30,204.75,86722000,195.235
2014-09-24,199.45,204.55,199.15,204.25,80708700,194.758
2014-09-23,200.50,208.00,197.85,198.65,53074500,189.418
2014-09-22,203.35,204.331,201.30,201.50,39140200,192.136
2014-09-19,205.00,206.455,204.20,204.65,104126000,195.139
2014-09-18,202.95,204.092,201.25,203.30,50979000,193.852
2014-09-17,202.75,202.95,200.819,200.90,42886700,191.564
2014-09-16,201.40,201.45,199.15,201.35,42777200,191.993
2014-09-15,202.35,204.74,201.00,201.50,39665200,192.136
2014-09-12,203.85,204.40,202.30,203.65,39825400,194.186
2014-09-11,206.00,206.45,199.60,203.45,73346000,193.995
2014-09-10,206.65,207.099,204.10,205.05,34400900,195.521
2014-09-09,205.80,207.50,205.80,206.25,32624900,196.665
2014-09-08,205.85,205.90,203.10,205.45,44510100,195.902
2014-09-05,209.70,209.85,202.192,206.00,58934600,196.427
2014-09-04,210.20,211.00,208.79,209.40,55125500,199.669
2014-09-03,209.30,213.50,209.27,209.70,70747300,199.955
2014-09-02,207.75,210.021,205.50,208.90,59514200,199.192
2014-09-01,206.00,207.70,206.00,206.70,40644000,197.094
2014-08-29,206.95,208.45,205.50,206.75,56403700,197.142
2014-08-28,207.95,208.00,206.15,207.35,32364600,197.714
2014-08-27,205.80,208.067,205.447,207.65,34189500,198.00
2014-08-26,207.80,208.124,205.45,205.85,43743600,196.284
2014-08-25,205.85,205.85,205.85,205.85,000,196.284
2014-08-22,204.50,206.597,203.30,205.85,93343900,196.284
2014-08-21,200.85,202.85,200.20,202.60,39974200,193.185
2014-08-20,201.50,202.25,200.40,201.15,28225700,191.802
2014-08-19,201.05,202.70,199.882,202.20,44991800,192.803
2014-08-18,199.10,200.65,199.10,200.00,36645600,190.705
2014-08-15,196.40,198.95,196.10,197.55,39631300,188.369
2014-08-14,197.35,198.384,195.95,196.30,37684300,187.177
2014-08-13,195.05,198.099,194.554,197.20,47292200,188.035
2014-08-12,194.65,194.668,192.442,193.50,39598000,184.507
2014-08-11,192.10,194.05,191.24,193.50,40449500,184.507
2014-08-08,193.40,193.90,191.30,191.90,116783700,182.982
2014-08-07,197.25,198.65,195.65,195.95,41190100,186.844
2014-08-06,195.80,200.95,195.55,197.90,108439800,188.703
2014-08-05,197.00,197.30,195.10,195.75,31772600,186.653
2014-08-04,196.70,198.041,196.00,196.40,32860200,187.273
2014-08-01,198.05,198.45,194.65,196.45,49989600,187.32
2014-07-31,201.30,202.25,197.20,198.10,82107600,188.894
2014-07-30,203.85,204.40,201.85,202.20,52295400,192.803
2014-07-29,203.10,205.45,201.386,202.90,45393800,193.471
2014-07-28,201.00,203.05,199.98,202.05,43335000,192.66
2014-07-25,199.00,203.90,198.00,202.05,96593700,192.66
2014-07-24,197.25,198.33,195.95,197.85,36088500,188.655
2014-07-23,196.00,198.95,195.75,197.00,62021300,187.845
2014-07-22,194.75,196.282,192.45,195.65,50854100,186.558
2014-07-21,195.25,196.503,193.85,194.40,28791200,185.366
2014-07-18,194.00,195.90,192.40,195.25,64852500,186.176
2014-07-17,195.55,196.40,194.15,195.25,55197900,186.176
2014-07-16,195.00,197.135,194.45,195.90,58903700,186.796
2014-07-15,192.70,194.96,192.40,194.00,70660200,184.984
2014-07-14,189.55,193.50,189.55,192.10,53287000,183.173
2014-07-11,190.00,196.57,187.95,189.45,44927300,180.646
2014-07-10,191.20,191.20,187.35,188.95,75116000,180.169
2014-07-09,190.70,197.202,188.75,191.00,73147200,182.124
2014-07-08,196.00,196.228,190.973,191.05,65425900,182.171
